f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39
3.55041,-2.50004,-9.91405,-11.6041,-18.8318,-18.9896,-17.0274,-26.7295,-29.9441,-24.5742,-26.8182,-27.2138,-26.1783,-29.6089,-31.4079,-31.7873,-31.3929,-31.0197,-33.4213,-33.471,-30.5853,-33.4893,-35.9353,-34.793,-31.9819,-32.0282,-32.5746,-31.457,-28.9205,-25.7249,-24.4782,-30.0577,-31.3459,-33.5095,-35.0778,-33.8417,-31.7336,-30.6277,-28.7187,-31.1247
11.1251,4.3753,-3.49771,-7.81074,-14.3155,-16.6732,-16.2837,-20.4513,-19.8546,-20.1584,-20.7094,-23.3769,-24.7903,-25.2438,-27.8185,-27.5147,-26.0057,-29.0048,-29.7708,-29.0501,-29.5966,-30.6356,-32.1184,-30.6252,-27.7488,-28.6983,-29.7552,-29.5604,-25.5568,-23.1285,-21.2259,-26.6309,-27.5104,-30.8928,-30.727,-30.1671,-28.6324,-28.2803,-25.0984,-27.6292
11.9825,7.65611,-0.863416,-7.07727,-12.2889,-12.0208,-12.7557,-14.7172,-14.4018,-18.0266,-17.8262,-18.8828,-23.1773,-21.3751,-23.3005,-23.6441,-22.3203,-27.6141,-26.0511,-25.9175,-29.1401,-28.6286,-30.815,-32.4332,-29.0839,-28.6149,-28.6516,-30.3938,-28.0117,-25.2608,-22.8169,-27.9221,-29.6672,-31.3452,-31.3754,-30.9993,-30.2112,-28.5348,-25.1785,-29.4652
6.12742,3.90573,-2.22293,-8.64419,-11.3768,-13.0753,-13.7487,-15.0763,-16.6307,-19.1284,-19.7761,-20.9393,-24.0501,-23.0997,-24.4622,-25.4734,-24.5838,-28.8557,-28.0837,-28.1526,-31.2457,-30.4864,-33.4414,-35.019,-32.8556,-32.2131,-32.3435,-34.284,-33.3993,-30.4035,-30.315,-34.1457,-35.452,-36.0285,-37.8304,-36.8805,-36.3648,-34.4181,-31.1913,-35.3689
10.8421,8.65936,-0.873978,-4.71523,-7.66386,-11.0113,-11.0815,-11.9525,-17.4023,-15.7165,-19.0979,-21.3153,-22.3979,-22.7062,-23.1777,-24.1781,-23.7584,-26.2671,-26.5307,-26.7271,-28.0603,-28.6452,-30.5485,-30.1754,-27.9545,-29.5701,-29.3243,-30.2241,-29.0939,-27.7744,-28.4087,-30.3772,-30.9606,-32.5023,-33.1325,-31.5951,-32.4678,-31.0095,-28.9205,-30.5682
12.6445,7.8547,-1.41086,-6.59572,-9.08892,-10.8207,-14.0879,-15.4692,-19.3268,-18.4291,-22.9156,-24.9973,-25.1502,-23.7026,-26.2999,-24.6493,-25.638,-26.5795,-26.0826,-27.9163,-27.5279,-28.8752,-29.143,-29.7143,-28.1029,-28.9434,-27.7519,-29.1803,-27.1311,-24.241,-24.8306,-28.9784,-29.1554,-29.4119,-31.1765,-29.4309,-30.303,-28.3034,-25.8916,-28.6173
7.91895,2.73341,2.3733,-3.60084,-8.0356,-11.3336,-15.1703,-14.5944,-17.6449,-19.4906,-23.175,-26.1312,-25.7507,-21.9434,-26.7229,-23.5356,-25.2932,-25.8523,-26.7447,-30.8263,-29.5904,-29.8712,-30.9896,-30.8341,-28.8191,-30.4662,-30.4144,-30.5872,-28.8053,-24.6789,-24.5256,-29.132,-31.7103,-31.74,-32.3773,-31.0555,-31.2496,-29.9892,-27.1443,-29.6962
0.0672237,-1.07196,-1.51183,-5.68533,-10.0081,-13.5547,-15.8993,-16.5396,-20.4155,-22.8521,-25.0147,-26.8392,-27.393,-25.7675,-28.8922,-27.2498,-28.2671,-30.2528,-31.3168,-33.1137,-33.6442,-32.8571,-33.5028,-35.2327,-33.693,-35.5498,-34.3346,-34.7721,-35.1281,-30.3576,-30.0537,-33.7888,-38.6414,-37.1718,-38.314,-37.0369,-36.0394,-35.9688,-32.6484,-35.6466
7.64772,-1.96405,-1.37976,-7.4276,-10.7553,-10.7584,-13.5398,-15.2503,-21.4567,-24.6293,-23.8207,-23.3265,-25.1531,-27.1702,-26.33,-26.7457,-27.0923,-29.0509,-27.2912,-27.0509,-31.5893,-30.7496,-29.2346,-31.0916,-30.5898,-31.0321,-29.0414,-30.5388,-30.0447,-25.4965,-25.408,-30.2008,-32.7666,-31.8165,-33.6133,-32.6548,-32.2729,-29.9044,-26.7671,-30.9027
13.5187,6.77102,-1.4009,-6.83057,-12.5195,-11.4845,-15.0316,-18.4325,-21.2619,-22.6207,-23.3911,-23.084,-26.9751,-29.7642,-28.036,-27.6538,-26.7161,-29.8448,-28.1883,-25.2279,-29.4161,-29.7472,-27.316,-29.0901,-28.2033,-29.4612,-28.9273,-28.5808,-27.9504,-22.7669,-22.6514,-27.5093,-29.7286,-31.2958,-30.701,-28.7477,-29.3507,-27.6487,-24.9203,-28.8767
13.9406,9.36728,-6.06552,-12.3311,-15.7459,-14.2815,-17.013,-22.1454,-20.2027,-22.5373,-25.2946,-24.4822,-27.2749,-31.3297,-28.5488,-29.0326,-28.4108,-32.6308,-32.5879,-28.1039,-29.0531,-28.8586,-30.4719,-31.0529,-29.6898,-29.78,-29.708,-29.356,-29.8263,-24.6414,-23.9738,-28.6356,-31.5952,-32.2854,-31.5801,-30.4419,-31.0152,-29.0155,-25.9142,-29.7937
